Message	Message Translation
Lightning surrounds your {kind}!	Молния обволакивает ваш {kind}!
{name} forms an image in your mind...	{name} формирует изображение у вас в голове...
{name} glows a bright white...	{name} светится ярко-белым...
{name} glows an intense blue...	{name} светится насыщенным синим...
{name} glows a pale blue...	{name} светится бледно-синим...
{name} glows bright green...	{name} светится ярко-зеленым...
{name} glows brightly...	{name} светится загорается...
{name} glows bright white...	{name} светится ярко-белым...
{name} glows deep blue...	{name} светится глубоким синим...
{name} glows deep red...	{name} светится глубоким красным...
{name} glows in anger!	{name} горит яростью!
{name} glows in scintillating colours...	{name} светится странными цветами...
{name} glows intensely black...	{name} светится черным...
{name} glow{s} many colors...	{name} светится всеми цветами...
{name} glows many colours...	{name} светится всеми цветами...
{name} glows very brightly...	{name} светится очень ярко...
{name} glows white...	{name} светится белым...
{name} is covered in fire...	{name} покрывается пламенем...
{name} is covered in frost...	{name} излучает холод...
{name} is covered in sparks...	{name} сыплет искрами...
{name} pulses a soft white.	{name} светится мягким белым.
{name} rages in fire...	{name} пылает огнем...
{name} throws deep green shadows...	{name} отбрасывает глубокие зеленые тени...
{name} twists space around you...	{name} искривляет пространство вокруг вас...
The {kind} flood{s} the area with goodness...	{kind} заполняет подземелье добром...
The {kind} form{s} an image in your mind...	{kind} формирует изображение у вас в голове...
The {kind} glow{s} a deep green...	{kind} светится глубоким зеленым...
The {kind} glow{s} brightly...	{kind} ярко светится...
The {kind} glow{s} deep red...	{kind} светится глубоким красным...
The {kind} let{s} out a shrill wail...	{kind} издает протяжный стон...
The {kind} shine{s} brightly...	{kind} ярко сверкает...
The {kind} well{s} with clear light...	{kind} озаряется чистым светом...
You feel a warm tingling inside...	Вы чувствуете теплое покалывание...
Your {kind} form{s} a magical arrow...	Ваш {kind} формирует магическую стрелу...
Your {kind} glow{s} a deep red...	Ваш {kind} светится глубоким красным...
Your {kind} glow{s} black...	Ваш {kind} светится черным...
Your {kind} glow{s} bright green...	Ваш {kind} светится ярко-зеленым...
Your {kind} glow{s} bright red...	Ваш {kind} светится ярко-красным...
Your {kind} glow{s} bright yellow...	Ваш {kind} светится ярко-желтым...
Your {kind} glow{s} deep blue...	Ваш {kind} светится глубоким синим...
Your {kind} glow{s} deep red...	Ваш {kind} светится глубоким красным...
Your {kind} glow{s} white...	Ваш {kind} светится белым...
Your {kind} glow{s} with the light of a thousand stars...	Ваш {kind} вспыхивает светом тысячи звезд...
Your {kind} glow{s} yellow...	Ваш {kind} светится желтым...
Your {kind} grow{s} magical spikes...	Ваш {kind} покрывается шипами...
Your {kind} {is} covered in acid...	Ваш {kind} покрывается кислотой...
Your {kind} {is} covered in fire...	Ваш {kind} покрывается пламенем...
Your {kind} {is} covered in frost...	Ваш {kind} излучает холод...
Your {kind} {is} covered in sparks...	Ваш {kind} сыплет искрами...
Your {kind} let{s} out a long, shrill note...	Ваш {kind} издает протяжную ноту...
Your {kind} pulsate{s}...	Ваш {kind} пульсирует...
Your {kind} radiate{s} deep purple...	Ваш {kind} светится глубоким фиолетовым...
Your {kind} twist{s} space around you.	Ваш {kind} искривляет пространство вокруг вас...
